date,keyword,trend_score
2021/5/9,F1 Grand Prix,1
2021/5/16,F1 Grand Prix,0
2021/5/23,F1 Grand Prix,1
2021/5/30,F1 Grand Prix,0
2021/6/6,F1 Grand Prix,1
2021/6/13,F1 Grand Prix,1
2021/6/20,F1 Grand Prix,1
2021/6/27,F1 Grand Prix,1
2021/7/4,F1 Grand Prix,1
2021/7/11,F1 Grand Prix,0
2021/7/18,F1 Grand Prix,1
2021/7/25,F1 Grand Prix,0
2021/8/1,F1 Grand Prix,1
2021/8/8,F1 Grand Prix,0
2021/8/15,F1 Grand Prix,0
2021/8/22,F1 Grand Prix,0
2021/8/29,F1 Grand Prix,1
2021/9/5,F1 Grand Prix,1
2021/9/12,F1 Grand Prix,1
2021/9/19,F1 Grand Prix,0
2021/9/26,F1 Grand Prix,1
2021/10/3,F1 Grand Prix,0
2021/10/10,F1 Grand Prix,1
2021/10/17,F1 Grand Prix,1
2021/10/24,F1 Grand Prix,1
2021/10/31,F1 Grand Prix,0
2021/11/7,F1 Grand Prix,1
2021/11/14,F1 Grand Prix,1
2021/11/21,F1 Grand Prix,1
2021/11/28,F1 Grand Prix,0
2021/12/5,F1 Grand Prix,2
2021/12/12,F1 Grand Prix,2
2021/12/19,F1 Grand Prix,0
2021/12/26,F1 Grand Prix,0
2022/1/2,F1 Grand Prix,0
2022/1/9,F1 Grand Prix,0
2022/1/16,F1 Grand Prix,0
2022/1/23,F1 Grand Prix,0
2022/1/30,F1 Grand Prix,0
2022/2/6,F1 Grand Prix,0
2022/2/13,F1 Grand Prix,0
2022/2/20,F1 Grand Prix,0
2022/2/27,F1 Grand Prix,0
2022/3/6,F1 Grand Prix,0
2022/3/13,F1 Grand Prix,1
2022/3/20,F1 Grand Prix,2
2022/3/27,F1 Grand Prix,1
2022/4/3,F1 Grand Prix,1
2022/4/10,F1 Grand Prix,1
2022/4/17,F1 Grand Prix,1
2022/4/24,F1 Grand Prix,1
2022/5/1,F1 Grand Prix,1
2022/5/8,F1 Grand Prix,1
2022/5/15,F1 Grand Prix,0
2022/5/22,F1 Grand Prix,1
2022/5/29,F1 Grand Prix,1
2022/6/5,F1 Grand Prix,0
2022/6/12,F1 Grand Prix,1
2022/6/19,F1 Grand Prix,1
2022/6/26,F1 Grand Prix,0
2022/7/3,F1 Grand Prix,1
2022/7/10,F1 Grand Prix,1
2022/7/17,F1 Grand Prix,1
2022/7/24,F1 Grand Prix,1
2022/7/31,F1 Grand Prix,1
2022/8/7,F1 Grand Prix,0
2022/8/14,F1 Grand Prix,0
2022/8/21,F1 Grand Prix,0
2022/8/28,F1 Grand Prix,1
2022/9/4,F1 Grand Prix,1
2022/9/11,F1 Grand Prix,1
2022/9/18,F1 Grand Prix,0
2022/9/25,F1 Grand Prix,0
2022/10/2,F1 Grand Prix,1
2022/10/9,F1 Grand Prix,1
2022/10/16,F1 Grand Prix,0
2022/10/23,F1 Grand Prix,1
2022/10/30,F1 Grand Prix,1
2022/11/6,F1 Grand Prix,0
2022/11/13,F1 Grand Prix,1
2022/11/20,F1 Grand Prix,0
2022/11/27,F1 Grand Prix,0
2022/12/4,F1 Grand Prix,0
2022/12/11,F1 Grand Prix,0
2022/12/18,F1 Grand Prix,0
2022/12/25,F1 Grand Prix,0
2023/1/1,F1 Grand Prix,0
2023/1/8,F1 Grand Prix,0
2023/1/15,F1 Grand Prix,0
2023/1/22,F1 Grand Prix,0
2023/1/29,F1 Grand Prix,0
2023/2/5,F1 Grand Prix,0
2023/2/12,F1 Grand Prix,0
2023/2/19,F1 Grand Prix,0
2023/2/26,F1 Grand Prix,1
2023/3/5,F1 Grand Prix,1
2023/3/12,F1 Grand Prix,0
2023/3/19,F1 Grand Prix,1
